Starting... 
2024-07-23 20:23:00.066562: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/log_2024_7_23_20_23_00.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:23:00.252545: Inference on case ABD_005.nii.gz 
2024-07-23 20:23:04.588529:  Organ 1 Dice: 0.963338315486908 
2024-07-23 20:23:04.588735:  Organ 1 HD: 81.39379582134877 
2024-07-23 20:23:04.588791:  Organ 1 IOU: 0.9292697661273274 
2024-07-23 20:23:04.588838:  Organ 1 precision: 0.9671268733340737 
2024-07-23 20:23:04.588882:  Organ 1 recall: 0.9595793708411577 
2024-07-23 20:23:05.845507:  Organ 2 Dice: 0.9389373064041138 
2024-07-23 20:23:05.845705:  Organ 2 HD: 2.0 
2024-07-23 20:23:05.845759:  Organ 2 IOU: 0.8849027774991206 
2024-07-23 20:23:05.845817:  Organ 2 precision: 0.975316046879289 
2024-07-23 20:23:05.845861:  Organ 2 recall: 0.9051748132073164 
2024-07-23 20:23:07.117622:  Organ 3 Dice: 0.9478967189788818 
2024-07-23 20:23:07.117825:  Organ 3 HD: 2.0 
2024-07-23 20:23:07.117877:  Organ 3 IOU: 0.9009540246511382 
2024-07-23 20:23:07.117923:  Organ 3 precision: 0.9591690910060563 
2024-07-23 20:23:07.117967:  Organ 3 recall: 0.9368861857583243 
2024-07-23 20:23:08.343461:  Organ 4 Dice: 0.638955295085907 
2024-07-23 20:23:08.343656:  Organ 4 HD: 11.884850387231683 
2024-07-23 20:23:08.343709:  Organ 4 IOU: 0.4694594516371565 
2024-07-23 20:23:08.343755:  Organ 4 precision: 0.9521015447538609 
2024-07-23 20:23:08.343800:  Organ 4 recall: 0.4808151666069557 
2024-07-23 20:23:09.579025:  Organ 5 Dice: 0.6894162893295288 
2024-07-23 20:23:09.579216:  Organ 5 HD: 16.30950643030009 
2024-07-23 20:23:09.579270:  Organ 5 IOU: 0.5260376188978411 
2024-07-23 20:23:09.579315:  Organ 5 precision: 0.9111470114281812 
2024-07-23 20:23:09.579360:  Organ 5 recall: 0.5544814029538904 
2024-07-23 20:23:11.935129:  Organ 6 Dice: 0.9725236892700195 
2024-07-23 20:23:11.935322:  Organ 6 HD: 2.0 
2024-07-23 20:23:11.935375:  Organ 6 IOU: 0.946516844788401 
2024-07-23 20:23:11.935421:  Organ 6 precision: 0.976143412316956 
2024-07-23 20:23:11.935466:  Organ 6 recall: 0.9689306576605989 
2024-07-23 20:23:13.711568:  Organ 7 Dice: 0.8957085013389587 
2024-07-23 20:23:13.711761:  Organ 7 HD: 140.26581883442827 
2024-07-23 20:23:13.711813:  Organ 7 IOU: 0.8111160126908835 
2024-07-23 20:23:13.711859:  Organ 7 precision: 0.8446576020226764 
2024-07-23 20:23:13.711903:  Organ 7 recall: 0.9533273951194366 
2024-07-23 20:23:15.098610:  Organ 8 Dice: 0.8916633129119873 
2024-07-23 20:23:15.098803:  Organ 8 HD: 6.0 
2024-07-23 20:23:15.098856:  Organ 8 IOU: 0.8045058312386278 
2024-07-23 20:23:15.098902:  Organ 8 precision: 0.9798082068964797 
2024-07-23 20:23:15.098947:  Organ 8 recall: 0.8180687390022379 
2024-07-23 20:23:16.378693:  Organ 9 Dice: 0.7553955912590027 
2024-07-23 20:23:16.378895:  Organ 9 HD: 8.363601445219611 
