Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:12:38.231045:  Organ 1 Dice: 0.9492817521095276 
2024-07-23 20:12:38.231248:  Organ 1 HD: 91.04833878316846 
2024-07-23 20:12:38.231300:  Organ 1 IOU: 0.9034598782305192 
2024-07-23 20:12:38.231345:  Organ 1 precision: 0.9382534896049831 
2024-07-23 20:12:38.231388:  Organ 1 recall: 0.960572381573249 
2024-07-23 20:12:39.497495:  Organ 2 Dice: 0.949485182762146 
2024-07-23 20:12:39.497692:  Organ 2 HD: 1.7320508075688772 
2024-07-23 20:12:39.497744:  Organ 2 IOU: 0.9038284422589873 
2024-07-23 20:12:39.497798:  Organ 2 precision: 0.9758850982590843 
2024-07-23 20:12:39.497859:  Organ 2 recall: 0.9244759886179292 
2024-07-23 20:12:40.804698:  Organ 3 Dice: 0.9460476636886597 
2024-07-23 20:12:40.804888:  Organ 3 HD: 2.0 
2024-07-23 20:12:40.804941:  Organ 3 IOU: 0.8976190703680156 
2024-07-23 20:12:40.804988:  Organ 3 precision: 0.9551621459613246 
2024-07-23 20:12:40.805032:  Organ 3 recall: 0.9371055386672211 
2024-07-23 20:12:42.063676:  Organ 4 Dice: 0.7723314762115479 
2024-07-23 20:12:42.063858:  Organ 4 HD: 6.164414002968976 
2024-07-23 20:12:42.063908:  Organ 4 IOU: 0.6291042585523923 
2024-07-23 20:12:42.063954:  Organ 4 precision: 0.956380033951076 
2024-07-23 20:12:42.063997:  Organ 4 recall: 0.6476884468757933 
2024-07-23 20:12:43.273396:  Organ 5 Dice: 0.6621834635734558 
2024-07-23 20:12:43.273590:  Organ 5 HD: 16.431676725154983 
2024-07-23 20:12:43.273643:  Organ 5 IOU: 0.49497329602970996 
2024-07-23 20:12:43.273689:  Organ 5 precision: 0.9229642649048561 
2024-07-23 20:12:43.273732:  Organ 5 recall: 0.5163034577123518 
2024-07-23 20:12:45.629361:  Organ 6 Dice: 0.9729122519493103 
