Starting... 
2023-12-04 12:51:58.778794: Namespace(data_dir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', logfile='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018//log_2023_12_4_12_51_58.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/output_nii', organs_file='organs14.key', out_channels=14) 
2023-12-04 12:51:59.245007: Inference on case ABD_005.nii.gz 
2023-12-04 12:52:01.991974:  Organ 1 Dice: 0.9698843359947205 
2023-12-04 12:52:01.992165:  Organ 1 HD: 1.4142135623730951 
2023-12-04 12:52:01.992217:  Organ 1 IOU: 0.9415295280958346 
2023-12-04 12:52:01.992262:  Organ 1 precision: 0.9888675750768047 
2023-12-04 12:52:01.992304:  Organ 1 recall: 0.9516161886241953 
2023-12-04 12:52:03.230198:  Organ 2 Dice: 0.9456341862678528 
2023-12-04 12:52:03.230391:  Organ 2 HD: 1.7320508075688772 
2023-12-04 12:52:03.230442:  Organ 2 IOU: 0.8968748701432827 
2023-12-04 12:52:03.230485:  Organ 2 precision: 0.9681710107253857 
2023-12-04 12:52:03.230527:  Organ 2 recall: 0.9241227225122441 
2023-12-04 12:52:04.514238:  Organ 3 Dice: 0.9472721815109253 
2023-12-04 12:52:04.514430:  Organ 3 HD: 1.7320508075688772 
2023-12-04 12:52:04.514801:  Organ 3 IOU: 0.8998263272627999 
2023-12-04 12:52:04.514985:  Organ 3 precision: 0.9598374666120961 
2023-12-04 12:52:04.515138:  Organ 3 recall: 0.9350316566194694 
2023-12-04 12:52:05.725034:  Organ 4 Dice: 0.4647595286369324 
2023-12-04 12:52:05.725232:  Organ 4 HD: 28.6705423736629 
2023-12-04 12:52:05.725283:  Organ 4 IOU: 0.30272751843768486 
2023-12-04 12:52:05.725326:  Organ 4 precision: 0.9754423281683822 
2023-12-04 12:52:05.725367:  Organ 4 recall: 0.30505245992046304 
2023-12-04 12:52:06.930730:  Organ 5 Dice: 0.6726583242416382 
2023-12-04 12:52:06.930929:  Organ 5 HD: 20.591260281974 
2023-12-04 12:52:06.930983:  Organ 5 IOU: 0.5067710375680853 
2023-12-04 12:52:06.931027:  Organ 5 precision: 0.9192105637949587 
2023-12-04 12:52:06.931069:  Organ 5 recall: 0.530394888144851 
2023-12-04 12:52:09.082797:  Organ 6 Dice: 0.9620787501335144 
2023-12-04 12:52:09.082982:  Organ 6 HD: 2.23606797749979 
2023-12-04 12:52:09.083035:  Organ 6 IOU: 0.9269284997797711 
2023-12-04 12:52:09.083079:  Organ 6 precision: 0.9608330736474412 
2023-12-04 12:52:09.083121:  Organ 6 recall: 0.9633276991319234 
2023-12-04 12:52:10.811290:  Organ 7 Dice: 0.9007831811904907 
2023-12-04 12:52:10.811481:  Organ 7 HD: 134.17153200288055 
2023-12-04 12:52:10.811532:  Organ 7 IOU: 0.8194772880771732 
2023-12-04 12:52:10.811575:  Organ 7 precision: 0.8635430513435716 
2023-12-04 12:52:10.811616:  Organ 7 recall: 0.9413800591188671 
2023-12-04 12:52:12.186999:  Organ 8 Dice: 0.8762668371200562 
2023-12-04 12:52:12.187180:  Organ 8 HD: 7.810249675906654 
2023-12-04 12:52:12.187232:  Organ 8 IOU: 0.7797819788415211 
2023-12-04 12:52:12.187275:  Organ 8 precision: 0.9790377648265266 
2023-12-04 12:52:12.187317:  Organ 8 recall: 0.7930222447898676 
2023-12-04 12:52:13.448681:  Organ 9 Dice: 0.7209258675575256 
2023-12-04 12:52:13.448876:  Organ 9 HD: 8.505834204116173 
2023-12-04 12:52:13.448928:  Organ 9 IOU: 0.5636310177317818 
2023-12-04 12:52:13.448971:  Organ 9 precision: 0.737298507032659 
2023-12-04 12:52:13.449012:  Organ 9 recall: 0.7052645662902989 
2023-12-04 12:52:14.911993:  Organ 10 Dice: 0.7139989733695984 
2023-12-04 12:52:14.912180:  Organ 10 HD: 20.73644135332772 
2023-12-04 12:52:14.912231:  Organ 10 IOU: 0.5552087399027154 
2023-12-04 12:52:14.912274:  Organ 10 precision: 0.8264046847861372 
2023-12-04 12:52:14.912316:  Organ 10 recall: 0.6285104348233242 
2023-12-04 12:52:16.627173:  Organ 11 Dice: 0.6945382952690125 
2023-12-04 12:52:16.627369:  Organ 11 HD: 23.345235059857504 
2023-12-04 12:52:16.627738:  Organ 11 IOU: 0.5320250565243476 
2023-12-04 12:52:16.627903:  Organ 11 precision: 0.7315080643905636 
2023-12-04 12:52:16.628052:  Organ 11 recall: 0.6611256434771062 
2023-12-04 12:52:17.822026:  Organ 12 Dice: 0.711991012096405 
2023-12-04 12:52:17.822222:  Organ 12 HD: 5.830951894845301 
2023-12-04 12:52:17.822274:  Organ 12 IOU: 0.5527842240348485 
2023-12-04 12:52:17.822318:  Organ 12 precision: 0.7533596847693292 
2023-12-04 12:52:17.822360:  Organ 12 recall: 0.6749291796213556 
2023-12-04 12:52:19.004982:  Organ 13 Dice: 0.7309192419052124 
2023-12-04 12:52:19.005170:  Organ 13 HD: 4.123105625617661 
2023-12-04 12:52:19.005222:  Organ 13 IOU: 0.5759438112907292 
2023-12-04 12:52:19.005266:  Organ 13 precision: 0.8726305291897888 
2023-12-04 12:52:19.005308:  Organ 13 recall: 0.6288042184787822 
2023-12-04 12:52:19.005599: Mean Organ Dice: 0.7932084798812866 
