,dataset,5,18,19,8
0,SegTHORCV,6.03,68.14,5.97,19.86
1,SegTHORCV,4.05,75.04,2.97,17.94
2,SegTHORCV,5.4,73.6,5.06,15.94
3,SegTHORCV,6.64,70.97,4.04,18.35
4,SegTHORCV,5.12,73.78,2.98,18.12
5,SegTHORCV,4.04,68.55,4.65,22.76
6,SegTHORCV,3.46,78.7,5.05,12.79
7,SegTHORCV,4.23,75.8,3.09,16.88
8,SegTHORCV,7.51,73.36,3.46,15.67
9,SegTHORCV,3.65,73.2,2.6,20.55
10,SegTHORCV,4.87,69.25,3.56,22.32
11,SegTHORCV,3.37,64.85,4.31,27.47
12,SegTHORCV,3.44,80.15,3.1,13.32
13,SegTHORCV,4.25,72.12,4.76,18.88
14,SegTHORCV,2.67,84.77,1.83,10.72
15,SegTHORCV,3.46,76.91,4.31,15.32
16,SegTHORCV,2.92,70.09,4.47,22.51
17,SegTHORCV,2.85,80.06,3.95,13.14
18,SegTHORCV,4.86,72.59,2.69,19.86
19,SegTHORCV,3.9,69.8,2.97,23.32
20,SegTHORCV,4.62,75.09,3.86,16.43
21,SegTHORCV,3.79,74.46,2.73,19.02
22,SegTHORCV,2.71,82.63,1.59,13.07
23,SegTHORCV,4.37,71.74,3.12,20.78
24,SegTHORCV,3.89,74.5,3.73,17.88
25,SegTHORCV,4.97,76.3,2.76,15.97
26,SegTHORCV,12.39,68.94,3.45,15.22
27,SegTHORCV,3.52,78.21,3.33,14.94
28,SegTHORCV,4.99,67.83,3.38,23.8
29,SegTHORCV,4.4,76.93,4.05,14.62
30,SegTHORCV,3.8,77.09,2.1,17.01
31,SegTHORCV,3.98,74.54,3.23,18.25
32,SegTHORCV,3.6,63.48,4.19,28.73
33,SegTHORCV,3.57,70.7,3.27,22.46
34,SegTHORCV,3.73,70.67,2.62,22.97
35,SegTHORCV,3.18,81.52,2.18,13.12
36,SegTHORCV,4.03,74.15,2.29,19.53
37,SegTHORCV,3.82,66.61,3.82,25.76
38,SegTHORCV,4.55,73.28,2.04,20.12
39,SegTHORCV,4.31,76.19,2.7,16.8
