,dataset,6,2,3,1,11
0,AbdomenCT1K,71.64,7.355,7.355,10.02,3.62
1,AbdomenCT1K,78.59,7.055,7.055,4.8,2.5
2,AbdomenCT1K,78.07,6.005,6.005,7.6,2.31
3,AbdomenCT1K,66.1,8.32,8.32,13.49,3.78
4,AbdomenCT1K,69.53,8.215,8.215,11.04,3
5,AbdomenCT1K,72.61,8.8,8.8,6.6,3.19
6,AbdomenCT1K,68.88,10.09,10.09,6.56,4.38
7,AbdomenCT1K,69.61,8.935,8.935,9.07,3.45
8,AbdomenCT1K,73.16,7.785,7.785,6.51,4.75
9,AbdomenCT1K,63.03,12.835,12.835,7.35,3.95
10,AbdomenCT1K,67.18,9.35,9.35,9.56,4.56
11,AbdomenCT1K,75.04,8.37,8.37,6.22,2
12,AbdomenCT1K,70.57,8.645,8.645,7.18,4.96
13,AbdomenCT1K,66.6,8.8,8.8,13.2,2.6
14,AbdomenCT1K,57.83,13.85,13.85,8.57,5.9
15,AbdomenCT1K,67.7,9.055,9.055,10.61,3.59
16,AbdomenCT1K,58.11,13.51,13.51,10.85,4.03
17,AbdomenCT1K,65.09,10.515,10.515,9.48,4.4
18,AbdomenCT1K,61.84,11.52,11.52,10.52,4.6
19,AbdomenCT1K,74.13,8.795,8.795,5.92,2.36
20,AbdomenCT1K,75.31,8.71,8.71,4.92,2.35
21,AbdomenCT1K,72.16,8.695,8.695,4.26,6.19
22,AbdomenCT1K,68.79,9.28,9.28,9.76,2.89
23,AbdomenCT1K,59.35,11.39,11.39,13.28,4.59
24,AbdomenCT1K,47.8,20.695,20.695,7.79,3.02
25,AbdomenCT1K,49.18,9.32,9.32,27.91,4.27
26,AbdomenCT1K,41.66,18.93,18.93,15.38,5.1
27,AbdomenCT1K,68.78,9.35,9.35,8.86,3.66
28,AbdomenCT1K,69.32,9.8,9.8,6.58,4.5
29,AbdomenCT1K,74.03,5.82,5.82,10.22,4.11
30,AbdomenCT1K,67.57,9.005,9.005,10.05,4.37
31,AbdomenCT1K,72.47,7.235,7.235,10.14,2.91
32,AbdomenCT1K,67.16,9.5,9.5,10.26,3.58
33,AbdomenCT1K,64.55,10.3,10.3,11.24,3.6
34,AbdomenCT1K,66.11,12.045,12.045,6.96,2.84
35,AbdomenCT1K,62.57,7.645,7.645,17.8,4.34
36,AbdomenCT1K,57.55,5.76,5.76,28.1,2.84
37,AbdomenCT1K,68.9,9.785,9.785,9.27,2.26
